SNOMED;Diagnóstico;Topografia;CID;DesProcedimento;chave_unica;CID_Final;Metodo;Confidence;Descricao_CID;Classificacao_Final;Motivo
M-90100;Alteração Fibroadenomatoide;Mama esquerda - 01 Hora(Mamotomia);;;Alteração Fibroadenomatoide|Mama esquerda - 01 Hora(Mamotomia)|M-90100;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-40000;Gastrite;Antro gástrico;K29;;Gastrite|Antro gástrico|M-40000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-71600;Bócio;Tireoide;D34;;Bócio|Tireoide|M-71600;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;ADENOMA SERRILHADO;Cólon ascendente;D12;;ADENOMA SERRILHADO|Cólon ascendente|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D12;;ADENOMA SERRILHADO|Pólipo de cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D129;;ADENOMA SERRILHADO|Pólipo de cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D12;;ADENOMA SERRILHADO|Pólipo de reto|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D129;;ADENOMA SERRILHADO|Pólipo de reto|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C180;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C181;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C182;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C183;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C184;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C185;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C186;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C187;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C188;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C189;;Adenocarcinoma Em Adenoma|Cólon ascendente|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C185;;Adenocarcinoma Em Adenoma|Pólipo de cólon sigmoide|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C188;;Adenocarcinoma Em Adenoma|Pólipo de cólon sigmoide|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C189;;Adenocarcinoma Em Adenoma|Pólipo de cólon sigmoide|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82103;Adenocarcinoma Em Adenoma;Pólipo de reto;C20;;Adenocarcinoma Em Adenoma|Pólipo de reto|M-82103;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82613;Adenocarcinoma Em Adenoma Viloso;Cólon ascendente;C180;;Adenocarcinoma Em Adenoma Viloso|Cólon ascendente|M-82613;C170;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto;SNOMED com CID majoritário claro (1/1).
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C187;;Adenocarcinoma Em Adenoma Viloso|Pólipo de cólon sigmoide|M-82613;C170;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto;SNOMED com CID majoritário claro (1/1).
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C188;;Adenocarcinoma Em Adenoma Viloso|Pólipo de cólon sigmoide|M-82613;C170;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto;SNOMED com CID majoritário claro (1/1).
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C189;;Adenocarcinoma Em Adenoma Viloso|Pólipo de cólon sigmoide|M-82613;C170;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto;SNOMED com CID majoritário claro (1/1).
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de reto;C209;;Adenocarcinoma Em Adenoma Viloso|Pólipo de reto|M-82613;C170;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto;SNOMED com CID majoritário claro (1/1).
M-40000;Gastrite;Estômago;;;Gastrite|Estômago|M-40000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Adenoma Tubular;Cólon ascendente;D12;;Adenoma Tubular|Cólon ascendente|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Pólipo de cólon sigmoide;D12;;Adenoma Tubular|Pólipo de cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Pólipo de cólon sigmoide;D129;;Adenoma Tubular|Pólipo de cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Pólipo de reto;D12;;Adenoma Tubular|Pólipo de reto|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Pólipo de reto;D129;;Adenoma Tubular|Pólipo de reto|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82113;Adenocarcinoma Tubular Moderadamente Diferenciado, Oms 2010;Pólipo de reto;C209;;Adenocarcinoma Tubular Moderadamente Diferenciado, Oms 2010|Pólipo de reto|M-82113;C50;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna da mama;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D12;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D121;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D122;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D123;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D124;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D125;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D126;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D127;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D128;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D129;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 01;D12;;Pólipo Hiperplásico|Pólipo de reto 01|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 01;D129;;Pólipo Hiperplásico|Pólipo de reto 01|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 02;D12;;Pólipo Hiperplásico|Pólipo de reto 02|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 02;D129;;Pólipo Hiperplásico|Pólipo de reto 02|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica Antral Leve;Biopsia gástrica;;;Gastrite Crônica Antral Leve|Biopsia gástrica|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Biópsia de cólon sigmoide;D12;;Pólipo Hiperplásico|Biópsia de cólon sigmoide|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Adenoma Tubular;Cólon sigmoide;D12;;Adenoma Tubular|Cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Cólon sigmoide;D129;;Adenoma Tubular|Cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Estômago;D131;;Adenoma Tubular|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Estômago;D131;;Adenoma Tubular|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
43000;Gastrite Crônica Corpórea Leve;Cólon sigmoide;;;Gastrite Crônica Corpórea Leve|Cólon sigmoide|43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
43000;Gastrite Crônica Corpórea Leve;Estômago;;;Gastrite Crônica Corpórea Leve|Estômago|43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
