SNOMED;Diagnóstico;Topografia;CID;DesProcedimento;chave_unica;CID_Final;Metodo;Confidence;Descricao_CID;Classificacao_Final;Motivo
M-82110;Lesão séssil serrilhada;Cólon de transverso;D12;;Lesão séssil serrilhada|Cólon de transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Cólon descendente;D12;;Lesão séssil serrilhada|Cólon descendente|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Estômago;D137;;Lesão séssil serrilhada|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Estômago;D137;;Lesão séssil serrilhada|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Cólon sigmoide;D12;;Pólipo Hiperplásico de Glândulas Fúndicas|Cólon sigmoide|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Cólon sigmoide;D129;;Pólipo Hiperplásico de Glândulas Fúndicas|Cólon sigmoide|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D130;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D131;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D132;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D133;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D134;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D135;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D136;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D137;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D139;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D12;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D120;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D121;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D122;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D123;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D124;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D125;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D126;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D127;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D128;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Biópsia de cólon transverso;D129;;Adenoma Tubular|Biópsia de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-72040;Pólipo Hiperplásico;Cólon transverso;D12;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D121;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D122;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D123;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D124;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D125;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D126;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D127;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D128;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon transverso;D129;;Pólipo Hiperplásico|Cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cón ascendente;D12;;Pólipo Hiperplásico|Cón ascendente|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica;Cólon de transverso;;;Gastrite Crônica|Cólon de transverso|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica;Cólon descendente;;;Gastrite Crônica|Cólon descendente|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica;Estômago;;;Gastrite Crônica|Estômago|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-80703;Carcinoma de Células Escamosas;Biópsia de epiglote;C019;;Carcinoma de Células Escamosas|Biópsia de epiglote|M-80703;C34;REGRA_SNOMED_MAJORITARIO;1.0;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax;SNOMED com CID majoritário claro (1/1).
M-82110;Adenoma Tubular;Pólipo de cólon transverso;D12;;Adenoma Tubular|Pólipo de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Pólipo de cólon transverso;D123;;Adenoma Tubular|Pólipo de cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-40000;Gastrite;Biopsia gástrica;;;Gastrite|Biopsia gástrica|M-40000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Adenoma Tubular;Cólon transverso;D12;;Adenoma Tubular|Cólon transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Cólon descendente;D12;;Adenoma Tubular|Cólon descendente|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Canal anal;D12;;Adenoma Tubular|Canal anal|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Canal anal;D129;;Adenoma Tubular|Canal anal|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-43000;Gastrite Crônica Antral Leve;Cólon ascendente;;;Gastrite Crônica Antral Leve|Cólon ascendente|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica Antral Leve;Estômago;;;Gastrite Crônica Antral Leve|Estômago|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica Antral Leve;Cólon descendente;;;Gastrite Crônica Antral Leve|Cólon descendente|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica Antral Leve;Canal anal;;;Gastrite Crônica Antral Leve|Canal anal|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon ascendente;D12;;Pólipo Hiperplásico|Cólon ascendente|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Estômago;D002;;Pólipo Hiperplásico|Estômago|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Estômago;D009;;Pólipo Hiperplásico|Estômago|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon descendente;D12;;Pólipo Hiperplásico|Cólon descendente|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Cólon descendente;D129;;Pólipo Hiperplásico|Cólon descendente|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Canal anal;D12;;Pólipo Hiperplásico|Canal anal|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Canal anal;D129;;Pólipo Hiperplásico|Canal anal|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82630;ADENOMA TÚBULO-VILOSO;Cólon transverso;D12;;ADENOMA TÚBULO-VILOSO|Cólon transverso|M-82630;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-82630;ADENOMA TÚBULO-VILOSO;Cólon descendente;D12;;ADENOMA TÚBULO-VILOSO|Cólon descendente|M-82630;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (1/1).
M-40000;Inflamação;Pólipo de cólon transverso;;;Inflamação|Pólipo de cólon transverso|M-40000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-40000;Inflamação;Pólipo de cólon descendente;;;Inflamação|Pólipo de cólon descendente|M-40000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
